"the_geom","MainStreet","CrossStree","Install_Da","LONG","LAT","X","Y"
"POINT (-74.0212160564291 40.61847166417753)","86 Street","7 Avenue","2020-06-04T00:00:00","-74.0212160564291","40.6184716641775","978360.000285134","164603.000240222"
"POINT (-74.01832673649814 40.616726472928484)","86 Street","11 Avenue","2020-06-04T00:00:00","-74.0183267364981","40.6167264729284","979161.999993473","163967.000199899"
"POINT (-74.01611841499845 40.615384599993774)","86 Street","12 Avenue","2020-06-04T00:00:00","-74.0161184149984","40.6153845999937","979775.000079811","163478.000193641"
"POINT (-74.01390658276848 40.61405366403952)","86 Street","13 Avenue","2020-06-04T00:00:00","-74.0139065827685","40.6140536640395","980389.000164136","162993.000179395"
"POINT (-74.01171284931088 40.612733662665605)","86 Street","14 Avenue","2020-06-04T00:00:00","-74.0117128493109","40.6127336626656","980998.000258476","162512.000157148"
"POINT (-73.99825336988619 40.60460965297003)","86 Street","20 Avenue","2020-06-04T00:00:00","-73.9982533698862","40.60460965297","984735.00000231","159552.000171646"
"POINT (-73.98939502455343 40.599254078176344)","86 Street","24 Avenue","2020-06-04T00:00:00","-73.9893950245534","40.5992540781763","987195.000003561","157601.000136644"
"POINT (-73.98719146078633 40.5979253715356)","86 Street","25 Avenue","2020-06-04T00:00:00","-73.9871914607863","40.5979253715356","987807.000091881","157117.000120386"
"POINT (-73.98071090599448 40.593996659582665)","86 Street","Avenue V","2020-06-04T00:00:00","-73.9807109059945","40.5939966595826","989607.000100806","155686.000029638"
"POINT (-74.01097081817578 40.61228633446032)","86 Street","Bay 7 Street","2020-06-04T00:00:00","-74.0109708181758","40.6122863344603","981204.000174552","162349.000155061"
"POINT (-74.00567962966905 40.609094521816395)","86 Street","Bay 14 Street","2020-06-04T00:00:00","-74.005679629669","40.6090945218164","982673.000189304","161186.000184476"
"POINT (-74.00411290154449 40.60814488957529)","86 Street","Bay 16 Street","2020-06-04T00:00:00","-74.0041129015445","40.6081448895753","983107.999975473","160840.000220314"
"POINT (-73.99971909441423 40.60548251108418)","86 Street","Bay 22 Street","2020-06-04T00:00:00","-73.9997190944142","40.6054825110841","984328.000160143","159870.000191808"
"POINT (-74.03910786585027 40.6253701201983)","86 Street","Narrows Avenue","2020-06-04T00:00:00","-74.0391078658503","40.6253701201983","973394.000046551","167118.000131473"
"POINT (-74.0407435587101 40.625687948124195)","86 Street","Shore Road","2020-06-04T00:00:00","-74.0407435587101","40.6256879481242","972939.999970302","167234.000227556"
"POINT (-73.97651335377181 40.591451449862426)","86 Street","West 6 Street","2020-06-04T00:00:00","-73.9765133537718","40.5914514498624","990773.000065386","154759.000243232"
"POINT (-73.98197815494797 40.594762664483824)","86 Street","West 11 Street","2020-06-04T00:00:00","-73.981978154948","40.5947626644838","989255.000148639","155965.000127807"
"POINT (-73.93739008379052 40.69818696334879)","Broadway","Belvidere Street","2020-06-04T00:00:00","-73.9373900837905","40.6981869633488","1001611.00004289","193651.000214979"
"POINT (-73.96549164645118 40.71048164273688)","Broadway","Berry Street","2020-06-04T00:00:00","-73.9654916464512","40.7104816427368","993817.000210971","198126.000123233"
"POINT (-73.9100243779843 40.68265812135871)","Broadway","Chauncey Street","2020-06-04T00:00:00","-73.9100243779843","40.6826581213587","1009205.00027481","188000.000034064"
"POINT (-73.91227253885108 40.683936177136374)","Broadway","Decatur Street","2020-06-04T00:00:00","-73.9122725388511","40.6839361771363","1008581.00021046","188465.000088304"
"POINT (-73.94545014963768 40.70276110211468)","Broadway","Gerry Street","2020-06-04T00:00:00","-73.9454501496377","40.7027611021146","999375.000249803","195316.000165805"
"POINT (-73.92556150287075 40.6914909184186)","Broadway","Greene Avenue","2020-06-04T00:00:00","-73.9255615028707","40.6914909184186","1004893.00004056","191214.000167727"
"POINT (-73.91679795796611 40.68649766669746)","Broadway","Hancock Street","2020-06-04T00:00:00","-73.9167979579661","40.6864976666974","1007325.00009781","189397.000192806"
"POINT (-73.9317746156035 40.695027288014515)","Broadway","Hart St_Suydam St","2020-06-04T00:00:00","-73.9317746156035","40.6950272880145","1003169.00020772","192501.000218391"
"POINT (-73.95925246779437 40.70890410881831)","Broadway","Havemeyer Street","2020-06-04T00:00:00","-73.9592524677944","40.7089041088183","995547.000031799","197551.999958888"
"POINT (-73.91755102032432 40.686929137987526)","Broadway","Jefferson Avenue","2020-06-04T00:00:00","-73.9175510203243","40.6869291379875","1007116.00018772","189554.000206888"
"POINT (-73.95554180578563 40.70759348402469)","Broadway","Keap Street","2020-06-04T00:00:00","-73.9555418057856","40.7075934840247","996576.000270382","197075.000256732"
"POINT (-73.93777215405704 40.69840400676473)","Broadway","Lewis Avenue_Locust Street","2020-06-04T00:00:00","-73.937772154057","40.6984040067647","1001505.00025488","193730.000056982"
"POINT (-73.94946979961777 40.7050191340968)","Broadway","Lynch St_Boerum St","2020-06-04T00:00:00","-73.9494697996178","40.7050191340968","998260.000183225","196138.000162229"
"POINT (-73.91981028025978 40.68821254309493)","Broadway","Madison Street","2020-06-04T00:00:00","-73.9198102802598","40.6882125430949","1006489.00012939","190021.000257149"
"POINT (-73.93114389951754 40.69467283700273)","Broadway","Malcolm X Blvd","2020-06-04T00:00:00","-73.9311438995175","40.6946728370027","1003344.0001858","192372.000148311"
"POINT (-73.95790377547993 40.70842603470355)","Broadway","Marcy Avenue","2020-06-04T00:00:00","-73.9579037754799","40.7084260347035","995921.000268057","197377.999978811"
"POINT (-73.95191058468735 40.70635962490239)","Broadway","Penn Street","2020-06-04T00:00:00","-73.9519105846874","40.7063596249024","997583.000224888","196626.000170484"
"POINT (-73.9115123333457 40.68350466559916)","Broadway","Rockaway Avenue","2020-06-04T00:00:00","-73.9115123333457","40.6835046655991","1008792.00011656","188308.000074223"
"POINT (-73.9567245858054 40.7080111389407)","Broadway","Rodney Street","2020-06-04T00:00:00","-73.9567245858054","40.7080111389407","996248.000270218","197227.000280812"
"POINT (-73.95108495727597 40.70591188038282)","Broadway","Rutledge Street","2020-06-04T00:00:00","-73.951084957276","40.7059118803828","997812.000094965","196463.000168398"
"POINT (-73.91303636097551 40.68436768635414)","Broadway","Schaefer Street","2020-06-04T00:00:00","-73.9130363609755","40.6843676863541","1008368.9999783","188622.000102401"
"POINT (-73.91470093815609 40.685315878857736)","Broadway","Thomas S Boyland St_Eldert St","2020-06-04T00:00:00","-73.9147009381561","40.6853158788577","1007907.00024614","188967.00006856"
"POINT (-73.95023769318637 40.705472354836715)","Broadway","Union Avenue & Heyward Street","2020-06-04T00:00:00","-73.9502376931864","40.7054723548367","998047.00028114","196303.000160307"
"POINT (-73.92631467226427 40.69192782161229)","Broadway","Van Buren Street","2020-06-04T00:00:00","-73.9263146722643","40.6919278216122","1004684.00013047","191373.000177816"
"POINT (-73.93311895691214 40.69579112218095)","Broadway","Willoughby Avenue","2020-06-04T00:00:00","-73.9331189569121","40.6957911221809","1002795.99996947","192778.999990478"
"POINT (-73.9205489614313 40.68864123985859)","Broadway","Woodbine Street","2020-06-04T00:00:00","-73.9205489614313","40.6886412398586","1006284.0002113","190177.000273228"
"POINT (-73.96677567245467 40.71062749262538)","Broadway","Wythe Avenue","2020-06-04T00:00:00","-73.9667756724547","40.7106274926254","993461.000266805","198179.000017226"
"POINT (-73.92541832360371 40.76791307539556)","Crescent Street","30 Road","2020-06-09T00:00:00","-73.9254183236037","40.7679130753955","1004909.00000855","219057.000255898"
"POINT (-73.9227580372248 40.81738784471986)","E 149 Street","Morris Avenue","2011-01-14T00:00:00","-73.9227580372248","40.8173878447198","1005630.00020698","237082.999964982"
"POINT (-73.9790361106662 40.62985984682688)","18 Avenue","46 Street","2020-06-15T00:00:00","-73.9790361106662","40.6298598468268","990069.000161052","168752.000144303"
"POINT (-73.98326299217479 40.62603430269855)","18 Avenue","53 Street","2020-06-15T00:00:00","-73.9832629921748","40.6260343026985","988896.000210464","167357.999979556"
"POINT (-73.9838323184328 40.625463468045716)","18 Avenue","54 Street","2020-06-15T00:00:00","-73.9838323184328","40.6254634680457","988738.000198394","167150.000067472"
"POINT (-73.98440163495232 40.624892630539144)","18 Avenue","55 Street","2020-06-15T00:00:00","-73.9844016349523","40.6248926305391","988580.000186309","166942.000155389"
"POINT (-73.98610232092241 40.62318284391262)","18 Avenue","58 Street","2020-06-15T00:00:00","-73.9861023209224","40.6231828439126","988108.000146061","166319.000089064"
"POINT (-73.9884190017493 40.62087198649483)","18 Avenue","62 Street","2020-06-15T00:00:00","-73.9884190017493","40.6208719864948","987465.000119716","165477.00013265"
"POINT (-73.98899184156558 40.62030387113233)","18 Avenue","63 Street","2020-06-15T00:00:00","-73.9889918415656","40.6203038711323","987306.000109643","165270.000218555"
"POINT (-73.98956827330994 40.61973849709468)","18 Avenue","64 Street","2020-06-15T00:00:00","-73.9895682733099","40.6197384970946","987146.000101551","165063.9999744"
"POINT (-73.99151726122541 40.61782004792529)","18 Avenue","67 Street","2020-06-15T00:00:00","-73.9915172612254","40.6178200479252","986605.000199303","164365.000060067"
"POINT (-73.99193514668505 40.61739189032455)","18 Avenue","68 Street","2020-06-15T00:00:00","-73.9919351466851","40.6173918903245","986489.00010322","164209.000043973"
"POINT (-73.99308069641636 40.616261110836696)","18 Avenue","70 Street","2020-06-15T00:00:00","-73.9930806964164","40.6162611108367","986171.000083059","163797.000211805"
"POINT (-73.99364985509904 40.61569297087558)","18 Avenue","71 Street","2020-06-15T00:00:00","-73.993649855099","40.6156929708755","986013.000070974","163589.999969646"
"POINT (-73.9942226054775 40.615130318720276)","18 Avenue","72 Street","2020-06-15T00:00:00","-73.9942226054775","40.6151303187202","985854.000060886","163385.000051558"
"POINT (-73.99479894845767 40.61456217426605)","18 Avenue","73 Street","2020-06-15T00:00:00","-73.9947989484577","40.614562174266","985694.00005281","163178.000137478"
"POINT (-73.99773814543333 40.611650042998235)","18 Avenue","78 Street","2020-06-15T00:00:00","-73.9977381454333","40.6116500429982","984878.000044391","162116.999962896"
"POINT (-73.99831442837771 40.611084625505384)","18 Avenue","79 Street","2020-06-15T00:00:00","-73.9983144283777","40.6110846255054","984718.000036299","161911.000046805"
"POINT (-73.99888349838454 40.61051646023221)","18 Avenue","80 Street","2020-06-15T00:00:00","-73.9988834983845","40.6105164602322","984560.000024214","161704.000132725"
"POINT (-73.99945616026248 40.60995103691529)","18 Avenue","81 Street","2020-06-15T00:00:00","-73.9994561602625","40.6099510369153","984401.000014141","161498.000216648"
"POINT (-74.00002160934073 40.60938560981404)","18 Avenue","82 Street","2020-06-15T00:00:00","-74.0000216093407","40.609385609814","984244.00000006","161291.999972478"
"POINT (-74.00094359667281 40.6086390223179)","18 Avenue","84 Street","2020-06-15T00:00:00","-74.0009435966728","40.6086390223179","983988.00018397","161020.000188395"
"POINT (-73.99250792640218 40.61682650202409)","18 Avenue","Bay Ridge Avenue","2020-06-15T00:00:00","-73.9925079264022","40.6168265020241","986330.000093132","164003.000127897"
"POINT (-73.99598402320693 40.613387449791304)","18 Avenue","Bay Ridge Pkwy","2020-06-15T00:00:00","-73.9959840232069","40.6133874497913","985365.000054643","162750.000009224"
"POINT (-74.00493381378855 40.60507343085001)","18 Avenue","Benson Avenue","2020-06-15T00:00:00","-74.0049338137886","40.60507343085","982880.000103384","159721.000161722"
"POINT (-74.00745807067239 40.602646894253915)","18 Avenue","Cropsey Avenue","2020-06-15T00:00:00","-74.0074580706724","40.6026468942539","982179.000193059","158836.999961227"
"POINT (-73.97604899598997 40.631275574297774)","18 Avenue","East 2 St_Seton Pl","2020-06-15T00:00:00","-73.97604899599","40.6312755742977","990898.000143468","169268.00009656"
"POINT (-73.96900049271673 40.63460606253905)","18 Avenue","East 9 Street","2020-06-15T00:00:00","-73.9690004927167","40.634606062539","992854.000168473","170481.999965146"
"POINT (-73.97716602615887 40.630746057494015)","18 Avenue","McDonald Avenue","2020-06-15T00:00:00","-73.9771660261589","40.630746057494","990588.000107303","169075.00015448"
"POINT (-74.00171790597688 40.60800222036026)","18 Avenue","New Utrecht Avenue","2020-06-15T00:00:00","-74.0017179059769","40.6080022203602","983773.000285894","160787.99999623"
"POINT (-73.98520115867132 40.674573306927826)","4 Avenue","2 Street","2020-06-19T00:00:00","-73.9852011586713","40.6745733069278","988354.999980137","185042.000044554"
"POINT (-73.98921799274999 40.66975392776289)","4 Avenue","10 Street","2020-06-19T00:00:00","-73.98921799275","40.6697539277629","987241.00023964","183286.000275731"
"POINT (-73.98972276070735 40.66914737772081)","4 Avenue","11 Street","2020-06-19T00:00:00","-73.9897227607074","40.6691473777208","987101.000191554","183065.000061557"
"POINT (-73.99022391353338 40.668549060329006)","4 Avenue","12 Street","2020-06-19T00:00:00","-73.9902239135334","40.668549060329","986962.000141472","182847.000169471"
"POINT (-73.99173452940184 40.6667376257857)","4 Avenue","15 Street","2020-06-19T00:00:00","-73.9917345294018","40.6667376257857","986542.999995217","182187.000177145"
"POINT (-73.99627664871312 40.66214035896174)","4 Avenue","22 Street","2020-06-19T00:00:00","-73.9962766487131","40.6621403589617","985283.000218645","180512.000246316"
"POINT (-73.99684617072107 40.661591419452975)","4 Avenue","23 Street","2020-06-19T00:00:00","-73.9968461707211","40.661591419453","985125.00020656","180311.99999015"
"POINT (-73.99743010092149 40.661036988765034)","4 Avenue","24 Street","2020-06-19T00:00:00","-73.9974301009215","40.661036988765","984963.000202477","180110.000066057"
"POINT (-73.99801402174224 40.66047157598075)","4 Avenue","25 Street","2020-06-19T00:00:00","-73.9980140217422","40.6604715759807","984801.000198394","179904.00014998"
"POINT (-73.99859793254906 40.6599116497437)","4 Avenue","26 Street","2020-06-19T00:00:00","-73.998597932549","40.6599116497437","984639.000194311","179700.000229895"
"POINT (-73.9991890419814 40.65935720920565)","4 Avenue","27 Street","2020-06-19T00:00:00","-73.9991890419814","40.6593572092056","984475.000194222","179497.999977723"
"POINT (-73.99977653738873 40.65879727693867)","4 Avenue","28 Street","2020-06-19T00:00:00","-73.9997765373887","40.6587972769386","984312.000192136","179294.000057638"
"POINT (-74.00151013123855 40.657109227073036)","4 Avenue","31 Street","2020-06-19T00:00:00","-74.0015101312385","40.657109227073","983831.000169888","178678.999975309"
"POINT (-74.00209398327121 40.65654928287163)","4 Avenue","32 Street","2020-06-19T00:00:00","-74.0020939832712","40.6565492828716","983669.000165805","178475.000055224"
"POINT (-74.00267782550279 40.65598933567058)","4 Avenue","33 Street","2020-06-19T00:00:00","-74.0026778255028","40.6559893356706","983507.000161722","178271.000135139"
"POINT (-74.00908863091365 40.649821482337394)","4 Avenue","44 Street","2020-06-19T00:00:00","-74.0090886309137","40.6498214823374","981728.000110805","176024.000035971"
