GEOID,tract_name,borough,area_sqmi,ksi_total,crash_count,lpi_count,hump_count,sip_count,bike_lane_miles,investment_density,svi_composite,svi_socioeconomic,svi_household,svi_minority,svi_housing,R_norm,I_norm,gap_score,biv_class,biv_color,safety_desert
36061000100,The Battery-Governors Island-Ellis Island-Liberty Island,Manhattan,0.06610760201225648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,#cccccc,False
36061002201,Lower East Side,Manhattan,0.06242014878222905,262.0,698.0,2.0,0.0,1.0,0.9455610674318732,150.88624081955413,0.8707,0.7888,0.7976,0.7098,0.8772,0.05535601098668921,0.13716938205916004,-0.08181337107247083,33,#3b4994,False
36061002602,East Village,Manhattan,0.03998999648257535,86.0,349.0,0.0,3.0,0.0,0.28152669596117486,85.5786532872775,0.6843,0.5706,0.1942,0.5487,0.9574,0.01817029368265371,0.07779881667878144,-0.05962852299612773,21,#ace4e4,False
36061002800,East Village,Manhattan,0.07079597503308695,136.0,453.0,3.0,4.0,1.0,1.0045212447475864,233.15989163800387,0.8253,0.6695,0.717,0.7073,0.9221,0.0287344179167547,0.2119636494570348,-0.1832292315402801,32,#5698b9,False
36061003400,East Village,Manhattan,0.06164096845024576,184.0,606.0,6.0,5.0,1.0,1.3731565431868245,438.98944963237915,0.2961,0.3545,0.0171,0.5035,0.7796,0.038875977181491654,0.3990815279742891,-0.3602055507927974,12,#dfb0d6,False
36061003601,Lower East Side,Manhattan,0.03882203302868259,342.0,1138.0,2.0,1.0,1.0,1.4006140228242234,285.9438357088287,0.8287,0.6634,0.7214,0.7083,0.9303,0.07225860976125079,0.25994907842334514,-0.18769046866209435,33,#3b4994,False
36061003602,East Village,Manhattan,0.03447366061400109,128.0,642.0,4.0,1.0,0.0,1.6026155171108476,446.83166804195264,0.7518,0.6657,0.2765,0.5139,0.969,0.027044158039298542,0.40621082119129365,-0.3791666631519951,21,#ace4e4,False
36061004001,East Village,Manhattan,0.03569165046857545,211.0,645.0,2.0,2.0,0.0,0.9272606034471538,263.1117020895096,0.214,0.2519,0.0144,0.4467,0.7529,0.04458060426790619,0.2391925823860451,-0.1946119781181389,12,#dfb0d6,False
36061004002,East Village,Manhattan,0.03345281602274198,201.0,690.0,5.0,0.0,0.0,0.4038119007519066,466.49937752680495,0.3055,0.2119,0.0184,0.558,0.9209,0.04246777942108599,0.42409056650075894,-0.38162278707967295,12,#dfb0d6,False
36061004100,SoHo-Little Italy-Hudson Square,Manhattan,0.07384253801516272,511.0,2580.0,2.0,1.0,1.0,0.8044375067258296,138.22190480496383,0.7763,0.7145,0.2904,0.5987,0.9553,0.10796534967251215,0.12565634325671285,-0.017690993584200704,23,#8c62aa,False
